interview_id,clean_code,percent_coverage
01,Resource deficiencies,11.06
01,Fire and fuels management,4.65
01,Meeting community needs,4.64
01,Collaborative partnerships,4.04
01,Biodiversity preservation project,3.65
01,Environmental justice,3.60
01,Funding deficiencies,3.34
01,Fostering partnerships,3.12
01,Coastal zones,2.73
01,Climate resiliency,2.17
01,Water resources management,1.63
01,Los Padres National Forest,1.62
01,Biodiversity metrics,1.56
01,Private land preservation,1.48
01,Habitat intactness (structural),1.43
01,Chumash Marine Sanctuary,0.99
01,Preserving biodiversity,0.97
01,Gaviota Coast,0.74
01,Point Conception,0.74
02,Listed species recovery project,8
02,Political barriers,6
02,Resource deficiencies,4
02,Private land preservation,3
02,Preserving biodiversity,3
02,Guadalupe-Nipomo Dunes,2
02,Recreational benefit project,2
02,Collaboration barriers,2
02,Santa Maria River,2
02,Equity and environmental justice,2
02,Fostering partnerships,1
02,Gaviota Coast,1
02,Jack and Laura Dangermond Preserve,1
02,Santa Ynez River,1
02,Funding deficiencies,1
02,Point Conception,1
02,Special status species,1
02,Collaborative partnerships,1
02,Increased project funding,1
02,Biodiversity metrics,1
03,Political barriers,6
03,Private land preservation,5
03,Collaborative partnerships,5
03,Special status species,5
03,Habitat intactness (structural),4
03,Natural and working lands conservation project,3
03,Preserving biodiversity,3.25
03,Recreational benefit,3.23
03,Funding deficiencies,2.08
03,Biodiversity metrics,2.05
03,Tajiguas Landfill,2.01
03,Increased project funding,1.98
03,Ecological resilience (functional),1.80
03,Hollister Ranch,1.60
03,Point Sal,1.60
03,Jack and Laura Dangermond Preserve,1.59
03,Point Conception,1.18
03,Vandenberg Space Force Base,1.18
03,Water resources management,1.11
03,Santa Ynez River,1.06
03,Elkat Canyon Resort,1.04
03,Gaviota Coast,0.84
03,Environmental justice,0.75
03,Listed species recovery project,0.46
04,Political barriers,7.74
04,Habitat intactness (structural),6.73
04,Collaboration barriers,5.56
04,Community oriented success metrics,4.10
04,Biodiversity metrics,3.79
04,Private land preservation,3.69
04,Jack and Laura Dangermond Preserve,2.92
04,Special status species,2.92
04,Fostering partnerships,2.88
04,Increased biodiversity,2.65
04,Point Conception,2.56
04,Habitat restoration,2.18
04,Collaborative partnerships,2.01
04,Ecological resilience (functional),1.86
04,Preserving biodiversity,1.78
04,Fire and fuels management,1.30
04,Watersheds,1.06
04,Biodiversity preservation project,0.24
05,Private land preservation,11.01
05,Natural and working lands conservation project,6.25
05,Funding deficiencies,4.82
05,Collaboration barriers,3.87
05,Collaborative partnerships,2.87
05,Increased project completion efficiency,2.30
05,Regulatory compliance and mitigation,1.88
05,Increased project funding,1.66
05,Preserving biodiversity,1.49
