category,clean_code,sources,percent_source,frequency,interview_id,percent_coverage,interview_name,interview_org,character_count
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,01,1.56,Bill Leahy,LegacyWorks Group,25490
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,02,1,Christie Boser,United States Fish and Wildlife Service,29315
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,03,2.05,Doug Kern,Gaviota Coast Conservancy,19144
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,04,3.79,Mark Reynolds,The Nature Conservancy,17789
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,13,0.53,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,14,0.42,Bre Sliker and Em Johnson,Community Environmental Council,27472
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,15,1.82,Darryl York,Vandenberg Space Force Base,23003
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,16,2.99,Brian Holguin,Archeological Consultant,21468
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,17,2.1,Brian Trautwein,Environmental Defense Center,26394
Conservation Criteria and Indicators,Biodiversity metrics,10,52.63157895,15,19,0.97,Teresa Romero,Native Coast Action Network,21630
Conservation Criteria and Indicators,Cultural significance,2,10.52631579,6,13,3.76,Ben Halpern,National Center for Ecological Analysis and Synthesis,19784
Conservation Criteria and Indicators,Cultural significance,2,10.52631579,6,16,8.07,Brian Holguin,Archeological Consultant,21468
Conservation Criteria and Indicators,Ecological resilience (functional),7,36.84210526,9,03,1.8,Doug Kern,Gaviota Coast Conservancy,19144
Conservation Criteria and Indicators,Ecological resilience (functional),7,36.84210526,9,04,1.86,Mark Reynolds,The Nature Conservancy,17789
Conservation Criteria and Indicators,Ecological resilience (functional),7,36.84210526,9,06,0.96,Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,25604
Conservation Criteria and Indicators,Ecological resilience (functional),7,36.84210526,9,10,0.69,Steph Wald,Creeklands Conservation,28115
